"","X.1","X","ï..Date","Open","High","Low","Close","Volume","V7"
"163",163,163,"4-Feb-15",218.29,221.48,216.8,-0.000869744395766619,-0.000869744395766619,-0.000869744395766619
"164",164,164,"3-Feb-15",213.22,220.37,211.27,-0.0345713440650888,-0.0345713440650888,-0.0345713440650888
"165",165,165,"2-Feb-15",203.97,211.95,203.3,-0.0354164481721005,-0.0354164481721005,-0.0354164481721005
"166",166,166,"30-Jan-15",203.96,207.47,203,0.0078278286202467,0.0078278286202467,0.0078278286202467
"167",167,167,"29-Jan-15",201.07,205.98,196.5,-0.0288227184418789,-0.0288227184418789,-0.0288227184418789
"168",168,168,"28-Jan-15",206.11,206.37,198.42,0.0326166818429202,0.0326166818429202,0.0326166818429202
"169",169,169,"27-Jan-15",204.42,208.03,203.3,0.00276343714511788,0.00276343714511788,0.00276343714511788
"170",170,170,"26-Jan-15",201.83,208.62,201.05,-0.0257958595298332,-0.0257958595298332,-0.0257958595298332
"171",171,171,"23-Jan-15",200.29,203.5,198.33,0.00163808331285501,0.00163808331285501,0.00163808331285501
"172",172,172,"22-Jan-15",197,203.24,195.2,-0.0253661356560883,-0.0253661356560883,-0.0253661356560883
"173",173,173,"21-Jan-15",189.55,198.68,189.51,-0.0238878797519204,-0.0238878797519204,-0.0238878797519204
"174",174,174,"20-Jan-15",193.87,194.12,187.04,0.00592209522993855,0.00592209522993855,0.00592209522993855
"175",175,175,"16-Jan-15",190.7,194.49,189.65,-0.00623475807771757,-0.00623475807771757,-0.00623475807771757
"176",176,176,"15-Jan-15",194.49,195.75,190,0.00426462056780308,0.00426462056780308,0.00426462056780308
"177",177,177,"14-Jan-15",185.83,195.2,185,0.0582620538023015,0.0582620538023015,0.0582620538023015
"178",178,178,"13-Jan-15",203.32,207.61,200.91,-0.0100379723924739,-0.0100379723924739,-0.0100379723924739
"179",179,179,"12-Jan-15",203.05,204.47,199.25,0.0217681694385705,0.0217681694385705,0.0217681694385705
"180",180,180,"9-Jan-15",208.92,209.98,204.96,0.0189806311662422,0.0189806311662422,0.0189806311662422
"181",181,181,"8-Jan-15",212.81,213.8,210.01,0.00156557661789644,0.00156557661789644,0.00156557661789644
"182",182,182,"7-Jan-15",213.35,214.78,209.78,0.00156312941852922,0.00156312941852922,0.00156312941852922
"183",183,183,"6-Jan-15",210.06,214.2,204.21,-0.00564825765334071,-0.00564825765334071,-0.00564825765334071
"184",184,184,"5-Jan-15",214.55,216.5,207.16,0.0429502436838776,0.0429502436838776,0.0429502436838776
"185",185,185,"2-Jan-15",222.87,223.25,213.26,0.0140362713749389,0.0140362713749389,0.0140362713749389
"186",186,186,"31-Dec-14",223.09,225.68,222.25,-0.00080964380097537,-0.00080964380097537,-0.00080964380097537
"187",187,187,"30-Dec-14",223.99,225.65,221.4,0.0155381078502879,0.0155381078502879,0.0155381078502879
"188",188,188,"29-Dec-14",226.9,227.91,224.02,0.00930485402810061,0.00930485402810061,0.00930485402810061
"189",189,189,"26-Dec-14",221.51,228.5,221.5,-0.0247079757142655,-0.0247079757142655,-0.0247079757142655
"190",190,190,"24-Dec-14",219.77,222.5,219.25,-0.00582092206048688,-0.00582092206048688,-0.00582092206048688
"191",191,191,"23-Dec-14",223.81,224.32,219.52,0.00734949314443097,0.00734949314443097,0.00734949314443097
"192",192,192,"22-Dec-14",220,224.06,218.26,-0.0149813840924999,-0.0149813840924999,-0.0149813840924999
"193",193,193,"19-Dec-14",220.19,220.4,214.5,-0.00470804206400086,-0.00470804206400086,-0.00470804206400086
"194",194,194,"18-Dec-14",212.38,218.44,211.8,-0.0586850122769982,-0.0586850122769982,-0.0586850122769982
"195",195,195,"17-Dec-14",193.06,206.65,192.65,-0.0396950263799611,-0.0396950263799611,-0.0396950263799611
"196",196,196,"16-Dec-14",200.89,203.68,195.37,0.0310090790267413,0.0310090790267413,0.0310090790267413
"197",197,197,"15-Dec-14",209.29,209.8,202.67,0.0144027402106432,0.0144027402106432,0.0144027402106432
"198",198,198,"12-Dec-14",204.82,211.68,204.5,0.00904113112550428,0.00904113112550428,0.00904113112550428
"199",199,199,"11-Dec-14",210.53,215.43,208.23,0.00458541116774477,0.00458541116774477,0.00458541116774477
"200",200,200,"10-Dec-14",214.13,216.77,207.7,0.0330449770158976,0.0330449770158976,0.0330449770158976
"201",201,201,"9-Dec-14",209.34,217.73,204.27,-0.0117334679478662,-0.0117334679478662,-0.0117334679478662
"202",202,202,"8-Dec-14",221.54,224.86,212.34,0.0426937255971636,0.0426937255971636,0.0426937255971636
"203",203,203,"5-Dec-14",228.67,229.39,222.26,0.0202223754446941,0.0202223754446941,0.0202223754446941
"204",204,204,"4-Dec-14",228.6,230.9,227.81,0.00445824419535142,0.00445824419535142,0.00445824419535142
"205",205,205,"3-Dec-14",226.25,229.72,225.5,0.00924626212771201,0.00924626212771201,0.00924626212771201
"206",206,206,"2-Dec-14",234.57,234.88,228,0.000906990366018296,0.000906990366018296,0.000906990366018296
"207",207,207,"1-Dec-14",241.16,242.47,229.01,0.0541126628029357,0.0541126628029357,0.0541126628029357
